Department,Use Case Name,Step Count,Steps,Apps
Marketing,Persona Narrative Builder,3,"1 Pull ICP; 2 Build story; 3 Deliver doc","Notion"
Marketing,Organic Social Post Generator,3,"1 Analyze audience; 2 Generate content; 3 Schedule","Buffer"
Marketing,Marketing Qualified Lead Checker,4,"1 Analyze lead actions; 2 Score; 3 Promote to MQL; 4 Notify sales","HubSpot"
Marketing,Competitor Campaign Analyzer,3,"1 Scrape ads; 2 Summarize; 3 Suggest counter-campaign","AdLibrary"
Marketing,Newsletter Builder,4,"1 Gather highlights; 2 Write content; 3 Insert visuals; 4 Schedule","Mailchimp"
Marketing,Brand Voice Checker,3,"1 Evaluate content; 2 Compare guidelines; 3 Fix tone","Notion"
Marketing,Backlink Outreach Automation,4,"1 Identify targets; 2 Build email; 3 Send; 4 Track responses","SEMRush"
Marketing,Influencer Research Agent,3,"1 Find influencers; 2 Score fit; 3 Build list","Instagram, TikTok"
Marketing,Ad Budget Planner,4,"1 Pull metrics; 2 Compare ROAS; 3 Reallocate; 4 Share plan","Google Ads"
Marketing,Creative Brief Generator,3,"1 Analyze need; 2 Build brief; 3 Share","Notion"
Marketing,Keyword Expansion Agent,3,"1 Pull seed keywords; 2 Suggest expansions; 3 Export list","Ahrefs"
Marketing,Webinar Workflow Agent,4,"1 Build registration page; 2 Create emails; 3 Track signups; 4 Automate followup","Zoom, HubSpot"
Marketing,Content Repurposing Agent,3,"1 Take long content; 2 Break into snippets; 3 Output formats","Descript"
Marketing,Site Audit Agent,4,"1 Crawl site; 2 Identify issues; 3 Recommend fixes; 4 Export","SEMRush"
Marketing,Campaign Performance Reporter,3,"1 Pull metrics; 2 Summarize; 3 Send report","HubSpot"
Marketing,Hashtag Recommender,3,"1 Analyze content; 2 Suggest hashtags; 3 Add to posts","Buffer"
Marketing,UTM Builder,3,"1 Select channel; 2 Build URL; 3 Save","HubSpot"
Marketing,Competitor Keyword Agent,4,"1 Pull competitor list; 2 Scrape keywords; 3 Compare gap; 4 Deliver","Ahrefs"
Marketing,Email Subject Line Optimizer,3,"1 Evaluate subject; 2 Suggest improvements; 3 Test variants","Mailchimp"
Marketing,Brand Audit Checklist Builder,4,"1 Pull assets; 2 Evaluate; 3 Score; 4 Build report","Notion"
Marketing,Marketing Dashboard Generator,4,"1 Aggregate metrics; 2 Build charts; 3 Identify trends; 4 Export dashboard","Looker"

Customer Success,Churn Predictor,8,"1 Pull accounts; 2 Analyze usage; 3 Check tickets; 4 Spot risks; 5 Score; 6 Recommend actions; 7 Notify CSM; 8 Log actions","Gainsight, Zendesk"
Customer Success,Renewal Workflow Agent,7,"1 Identify renewals; 2 Build plan; 3 Assign tasks; 4 Create email; 5 Track meetings; 6 Update CRM; 7 Report","Salesforce"
Customer Success,Onboarding Playbook Builder,7,"1 Identify product; 2 Map steps; 3 Generate tasks; 4 Build timeline; 5 Notify CSM; 6 Track progress; 7 Report","Asana"
Customer Success,Support Ticket Analyzer,7,"1 Pull tickets; 2 Tag issues; 3 Find patterns; 4 Suggest solutions; 5 Route to product; 6 Notify CSM; 7 Log updates","Zendesk"
Customer Success,Quarterly Business Review Builder,8,"1 Pull KPIs; 2 Analyze goals; 3 Build slides; 4 Insert insights; 5 Add recommendations; 6 Personalize; 7 Deliver deck; 8 Log","Google Slides"
Customer Success,Sentiment Tracker,7,"1 Track emails; 2 Analyze tone; 3 Detect drops; 4 Alert CSM; 5 Recommend outreach; 6 Build email; 7 Log result","Gmail"
Customer Success,Account Health Scorer,7,"1 Pull usage; 2 Pull support data; 3 Calculate health; 4 Identify risks; 5 Suggest plans; 6 Update CRM; 7 Notify","Gainsight"
Customer Success,Upsell Opportunity Finder,7,"1 Analyze usage; 2 Identify upgrade triggers; 3 Build narrative; 4 Draft outreach; 5 Notify AE; 6 Add to CRM; 7 Track","Salesforce"
Customer Success,Meeting Brief Generator,3,"1 Pull account; 2 Summarize; 3 Deliver brief","Salesforce"
Customer Success,Post-Call Summary Agent,4,"1 Transcribe call; 2 Extract takeaways; 3 Build tasks; 4 Update CRM","Gong"
Customer Success,Training Content Recommender,3,"1 Analyze usage; 2 Identify gaps; 3 Suggest modules","LMS"
Customer Success,Ticket Escalation Manager,4,"1 Detect urgent issue; 2 Notify team; 3 Assign owner; 4 Track","Zendesk"
Customer Success,Account Segmentation,3,"1 Review accounts; 2 Group tiers; 3 Tag CRM","Salesforce"
Customer Success,Adoption Workflow Builder,4,"1 Identify low activity; 2 Suggest steps; 3 Build outreach; 4 Track","Mixpanel"
Customer Success,CSAT Analyzer,3,"1 Pull CSAT scores; 2 Analyze trends; 3 Recommend fixes","SurveyMonkey"
Customer Success,Feature Request Tracker,3,"1 Capture request; 2 Group themes; 3 Share with product","Notion"
Customer Success,License Utilization Checker,3,"1 Analyze seats; 2 Identify unused; 3 Notify customer","Salesforce"
Customer Success,Ticket Reduction Planner,4,"1 Analyze categories; 2 Identify automation; 3 Recommend flows; 4 Share","Zendesk"
Customer Success,Customer Journey Mapper,3,"1 Identify journey stages; 2 Map milestones; 3 Output diagram","Miro"
Customer Success,User Group Builder,3,"1 Identify power users; 2 Invite to community; 3 Track engagement","Slack"
Customer Success,Customer Story Generator,4,"1 Identify success; 2 Gather metrics; 3 Build story; 4 Save","Notion"
Customer Success,Health Score Digest,3,"1 Pull scores; 2 Summarize; 3 Share report","Gainsight"
Customer Success,Lifecycle Alert Agent,3,"1 Monitor activities; 2 Detect milestones; 3 Trigger outreach","Salesforce"
Customer Success,Upsell Messaging Generator,3,"1 Identify trigger; 2 Build narrative; 3 Draft email","Gmail"
Customer Success,NPS Analyzer,4,"1 Pull NPS; 2 Group detractors; 3 Suggest actions; 4 Share","SurveyMonkey"
Customer Success,Renewal Probabilitiy Forecaster,4,"1 Analyze churn factors; 2 Score; 3 Recommend outreach; 4 Notify","Gainsight"
Customer Success,At-Risk Account Reporter,3,"1 Identify low usage; 2 Highlight reasons; 3 Deliver report","Mixpanel"
Customer Success,Adoption Report Generator,3,"1 Pull modules; 2 Measure adoption; 3 Build report","Mixpanel"
Customer Success,Slack Channel Analyzer,3,"1 Pull messages; 2 Identify themes; 3 Recommend actions","Slack"
Customer Success,Customer Win Detector,4,"1 Monitor activity; 2 Detect success; 3 Notify CSM; 4 Suggest follow-up","Salesforce"

(If you want the last 5 departments continued, say **“continue CSV”**. The full 270 rows won’t fit in one message without splitting.)

Operations,Inventory Reordering Agent,7,"1 Track inventory; 2 Predict needs; 3 Analyze vendor lead times; 4 Generate purchase order; 5 Notify buyer; 6 Log PO; 7 Track fulfillment","NetSuite, SAP"
Operations,Vendor Risk Analyzer,7,"1 Pull vendor data; 2 Check performance; 3 Identify risks; 4 Score vendor; 5 Recommend action; 6 Notify ops; 7 Log report","SAP, Notion"
Operations,Weekly Ops Digest,7,"1 Aggregate metrics; 2 Identify risks; 3 Highlight delays; 4 Summarize; 5 Suggest actions; 6 Build report; 7 Send","Looker, Slack"
Operations,Process Compliance Checker,8,"1 Identify workflows; 2 Pull data; 3 Compare to SOPs; 4 Detect deviations; 5 Suggest corrections; 6 Notify owners; 7 Update logs; 8 Report","Notion, Jira"
Operations,SLA Performance Tracker,7,"1 Pull tickets; 2 Calculate SLA; 3 Identify breaches; 4 Assign owners; 5 Recommend improvements; 6 Alert team; 7 Build report","Zendesk"
Operations,Work Order Assignment Agent,7,"1 Detect work order; 2 Score complexity; 3 Select technician; 4 Assign; 5 Notify; 6 Track; 7 Close","ServiceNow"
Operations,Shift Scheduling Assistant,8,"1 Pull availability; 2 Identify gaps; 3 Generate schedule; 4 Check conflicts; 5 Notify staff; 6 Publish; 7 Track changes; 8 Log","ADP, BambooHR"
Operations,Inventory Discrepancy Detector,7,"1 Pull counts; 2 Compare expected vs actual; 3 Flag anomalies; 4 Suggest reasons; 5 Notify team; 6 Request recount; 7 Log","NetSuite"
Operations,Compliance Audit Prep Agent,8,"1 Identify audit scope; 2 Pull documents; 3 Verify records; 4 Flag gaps; 5 Suggest fixes; 6 Compile packet; 7 Notify stakeholders; 8 Log","Notion, Google Drive"
Operations,Supply Chain Delay Predictor,8,"1 Pull supplier data; 2 Analyze shipping timelines; 3 Compare historicals; 4 Estimate delays; 5 Suggest alternative vendors; 6 Notify ops; 7 Update system; 8 Track outcomes","SAP"
Operations,Warehouse Optimization Planner,7,"1 Analyze picking data; 2 Review layout; 3 Identify bottlenecks; 4 Suggest improvements; 5 Build plan; 6 Notify team; 7 Log updates","NetSuite"
Operations,Capacity Forecast Agent,7,"1 Pull orders; 2 Analyze production; 3 Identify constraints; 4 Forecast demand; 5 Suggest staffing; 6 Notify team; 7 Track metrics","Looker"
Operations,Order Accuracy Checker,3,"1 Compare orders vs shipped; 2 Identify mismatches; 3 Notify team","NetSuite"
Operations,Travel Booking Assistant,4,"1 Capture request; 2 Suggest flights; 3 Book; 4 Notify traveler","Expensify"
Operations,Document Expiration Tracker,3,"1 Track document dates; 2 Flag expiring; 3 Notify owners","Google Drive"
Operations,Incident Report Analyzer,3,"1 Pull incident; 2 Identify root causes; 3 Recommend actions","Notion"
Operations,Facility Maintenance Reminder,3,"1 Track equipment; 2 Calculate cycles; 3 Schedule maintenance","ServiceNow"
Operations,Inventory Turnover Analyzer,4,"1 Pull inventory; 2 Calculate turnover; 3 Identify slow items; 4 Suggest actions","NetSuite"
Operations,Shift Reminder Agent,3,"1 Pull schedules; 2 Send reminders; 3 Track ack","Slack"
Operations,Fleet Maintenance Tracker,4,"1 Track mileage; 2 Identify needed service; 3 Notify driver; 4 Log","Fleetio"
Operations,Cost Reduction Analyzer,4,"1 Analyze expenses; 2 Identify savings; 3 Recommend cuts; 4 Build report","Looker"
Operations,Vendor Communication Agent,3,"1 Pull vendor emails; 2 Summarize; 3 Suggest responses","Gmail"
Operations,Purchase Order Validator,4,"1 Review PO; 2 Check compliance; 3 Suggest edits; 4 Approve","NetSuite"
Operations,Warehouse Safety Checklist Agent,3,"1 Pull checklist; 2 Evaluate compliance; 3 Send report","Notion"
Operations,Order Fulfillment Tracker,4,"1 Track orders; 2 Spot delays; 3 Notify; 4 Log updates","ShipStation"
Operations,Inventory Forecast Agent,3,"1 Pull sales history; 2 Predict needs; 3 Export forecast","Looker"
Operations,Ops KPI Dashboard Builder,4,"1 Pull data; 2 Build charts; 3 Highlight anomalies; 4 Export dashboard","Looker"
Operations,Process Automation Finder,4,"1 Analyze workflows; 2 Identify automation; 3 Recommend tools; 4 Build blueprint","Zapier"
Operations,New Vendor Onboarding Agent,4,"1 Capture vendor info; 2 Validate docs; 3 Add to system; 4 Notify team","NetSuite"
Operations,Route Optimization Agent,4,"1 Pull delivery addresses; 2 Optimize routes; 3 Assign drivers; 4 Send plan","Fleetio"

HR,Employee Onboarding Workflow,7,"1 Capture employee info; 2 Assign tasks; 3 Prepare docs; 4 Provision accounts; 5 Schedule training; 6 Notify manager; 7 Track progress","BambooHR, Okta"
HR,Recruiting Pipeline Manager,7,"1 Pull candidates; 2 Score resumes; 3 Rank; 4 Assign interviews; 5 Notify recruiters; 6 Update ATS; 7 Track progress","Greenhouse"
HR,Performance Review Assistant,7,"1 Pull employee goals; 2 Summarize achievements; 3 Analyze feedback; 4 Recommend ratings; 5 Draft review; 6 Notify manager; 7 Log","Lattice"
HR,Compensation Benchmark Agent,7,"1 Pull roles; 2 Compare salaries; 3 Identify gaps; 4 Suggest adjustments; 5 Build report; 6 Notify HR; 7 Save to system","Payscale"
HR,Employee Sentiment Monitor,7,"1 Scan messages; 2 Detect tone; 3 Identify trends; 4 Flag concerns; 5 Suggest actions; 6 Notify HR; 7 Log","Slack"
HR,Exit Interview Analyzer,7,"1 Pull notes; 2 Extract themes; 3 Identify causes; 4 Recommend changes; 5 Build report; 6 Notify HR; 7 Track trends","Notion"
HR,Hiring Funnel Optimizer,7,"1 Analyze stage drop-offs; 2 Identify bottlenecks; 3 Suggest changes; 4 Build test; 5 Notify team; 6 Track progress; 7 Report","Greenhouse"
HR,Training Completion Tracker,7,"1 Pull training data; 2 Identify overdue; 3 Send reminders; 4 Notify managers; 5 Track completion; 6 Update system; 7 Report","LMS"
HR,Employee Engagement Analyzer,7,"1 Pull survey data; 2 Evaluate results; 3 Identify themes; 4 Suggest initiatives; 5 Build report; 6 Notify HR; 7 Post to dashboard","SurveyMonkey"
HR,Workplace Policy Compliance Checker,7,"1 Pull policies; 2 Scan activities; 3 Detect issues; 4 Suggest corrections; 5 Notify managers; 6 Track fixes; 7 Update logs","Notion"
HR,Workforce Planning Agent,7,"1 Pull headcount; 2 Analyze gaps; 3 Forecast needs; 4 Recommend hiring; 5 Build plan; 6 Notify HR; 7 Save","Workday"
HR,Vacation Request Processor,3,"1 Capture request; 2 Check balance; 3 Approve","BambooHR"
HR,Job Description Writer,3,"1 Capture role; 2 Generate JD; 3 Export","Notion"
HR,Interview Scorecard Summarizer,4,"1 Pull scorecards; 2 Summarize themes; 3 Recommend decision; 4 Notify recruiter","Greenhouse"
HR,Payroll Audit Checker,4,"1 Pull timesheets; 2 Identify errors; 3 Flag issues; 4 Send report","ADP"
HR,Benefits Enrollment Assistant,3,"1 Capture elections; 2 Validate; 3 Save","Workday"
HR,Employee Milestone Tracker,3,"1 Identify milestones; 2 Notify team; 3 Log","Slack"
HR,Training Content Recommender,3,"1 Analyze role; 2 Suggest content; 3 Export","LMS"
HR,Workplace Culture Analyzer,3,"1 Analyze comms; 2 Identify issues; 3 Suggest initiatives","Slack"
HR,Role Benchmark Creator,4,"1 Capture responsibilities; 2 Benchmark market data; 3 Recommend range; 4 Build report","Payscale"
HR,Org Chart Builder,3,"1 Pull roles; 2 Map hierarchy; 3 Export chart","Miro"
HR,Interview Question Generator,3,"1 Capture role; 2 Generate questions; 3 Save","Notion"
HR,Employee Recognition Agent,3,"1 Detect achievements; 2 Suggest recognition; 3 Notify manager","Slack"
HR,HR Helpdesk Ticket Router,3,"1 Pull tickets; 2 Tag category; 3 Assign owner","Zendesk"
HR,CFW Analyzer,4,"1 Pull workforce data; 2 Identify patterns; 3 Suggest actions; 4 Share report","Looker"
HR,Training Attendance Checker,3,"1 Pull roster; 2 Identify no-shows; 3 Notify HR","LMS"
HR,Employee Handbook Generator,3,"1 Capture policies; 2 Organize sections; 3 Build handbook","Notion"
HR,Recruiter Pipeline Digest,4,"1 Pull candidates; 2 Summarize progress; 3 Highlight issues; 4 Send digest","Slack"
HR,HR KPI Dashboard Agent,4,"1 Pull KPIs; 2 Build dashboard; 3 Identify trends; 4 Export","Looker"

Finance,Budget Forecasting Agent,8,"1 Pull financials; 2 Pull historicals; 3 Build model; 4 Forecast trends; 5 Identify risks; 6 Suggest adjustments; 7 Notify finance; 8 Log","NetSuite, Looker"
Finance,Expense Audit Agent,7,"1 Pull expenses; 2 Flag anomalies; 3 Identify duplicates; 4 Suggest corrections; 5 Notify owners; 6 Update system; 7 Log","Expensify"
Finance,Revenue Recognition Checker,7,"1 Pull contracts; 2 Identify revenue schedules; 3 Detect errors; 4 Recommend updates; 5 Notify finance; 6 Adjust entries; 7 Log","NetSuite"
Finance,AP Automation Agent,7,"1 Capture invoice; 2 Extract fields; 3 Validate vendor; 4 Match PO; 5 Suggest approval; 6 Route; 7 Log","Stampli"
Finance,Financial Close Assistant,7,"1 Pull ledgers; 2 Identify gaps; 3 Reconcile; 4 Suggest adjustments; 5 Build report; 6 Notify finance; 7 Log","NetSuite"
Finance,Vendor Spend Analyzer,7,"1 Pull spend; 2 Compare period over period; 3 Identify increases; 4 Suggest cuts; 5 Build report; 6 Notify; 7 Track","Looker"
Finance,Cash Flow Modeler,7,"1 Pull AR/AP; 2 Forecast inflows; 3 Forecast outflows; 4 Identify risks; 5 Recommend timing; 6 Notify team; 7 Log","NetSuite"
Finance,Contract Profitability Analyzer,8,"1 Pull contracts; 2 Analyze margins; 3 Compare costs; 4 Identify low performers; 5 Suggest fixes; 6 Build report; 7 Notify; 8 Log","Looker"
Finance,Balance Sheet Reviewer,7,"1 Pull accounts; 2 Identify anomalies; 3 Suggest corrections; 4 Draft notes; 5 Notify finance; 6 Log; 7 Summarize","NetSuite"
Finance,Tax Filing Prep Agent,8,"1 Pull revenue; 2 Pull expenses; 3 Identify deductions; 4 Prepare docs; 5 Flag gaps; 6 Build filing packet; 7 Notify team; 8 Log","NetSuite"
Finance,Audit Readiness Agent,7,"1 Identify audit scope; 2 Pull docs; 3 Validate data; 4 Flag issues; 5 Suggest corrections; 6 Build packet; 7 Notify team","Google Drive"
Finance,AR Collections Workflow,7,"1 Identify overdue invoices; 2 Draft reminders; 3 Schedule outreach; 4 Notify owners; 5 Track responses; 6 Update system; 7 Report","NetSuite"
Finance,AP Payment Scheduler,3,"1 Identify due invoices; 2 Schedule payment; 3 Log","NetSuite"
Finance,Vendor Contract Analyzer,4,"1 Pull contracts; 2 Summarize terms; 3 Identify risks; 4 Notify","Google Drive"
Finance,Payroll Variance Checker,4,"1 Pull payroll; 2 Identify variances; 3 Suggest fixes; 4 Notify managers","ADP"
Finance,Expense Categorization Agent,3,"1 Pull expenses; 2 Categorize; 3 Update system","Expensify"
Finance,Credit Risk Analyzer,4,"1 Pull account data; 2 Score risk; 3 Recommend credit limits; 4 Notify finance","Salesforce"
Finance,Transaction Reconciliation Agent,4,"1 Pull transactions; 2 Match entries; 3 Flag mismatches; 4 Log","NetSuite"
Finance,ROI Calculator,3,"1 Capture inputs; 2 Calculate ROI; 3 Export","Notion"
Finance,Cost Allocation Agent,3,"1 Pull costs; 2 Allocate across teams; 3 Update system","NetSuite"
Finance,Revenue Dashboard Builder,4,"1 Pull revenue; 2 Build charts; 3 Identify trends; 4 Export","Looker"
Finance,Invoice Error Detector,3,"1 Pull invoices; 2 Find errors; 3 Notify AP","Stampli"
Finance,Forecast Accuracy Checker,3,"1 Compare forecast vs actual; 2 Identify misses; 3 Build report","Looker"
Finance,Approval Flow Builder,3,"1 Detect request; 2 Identify approvers; 3 Route","NetSuite"
Finance,Finance Policy Compliance Checker,4,"1 Pull policies; 2 Evaluate expenses; 3 Flag violations; 4 Notify","Expensify"
Finance,Vendor Spend Digest,3,"1 Pull spend; 2 Summarize; 3 Send digest","Looker"
Finance,AP/AR Trend Analyzer,4,"1 Pull AR/AP; 2 Plot trends; 3 Identify issues; 4 Share","Looker"
Finance,Expense Receipt Validator,3,"1 Pull receipts; 2 Match expenses; 3 Flag issues","Expensify"
Finance,Ledger Cleanup Agent,4,"1 Pull ledger; 2 Identify old entries; 3 Suggest cleanups; 4 Export","NetSuite"

IT,System Provisioning Agent,7,"1 Capture request; 2 Identify systems; 3 Assign permissions; 4 Provision accounts; 5 Notify user; 6 Log actions; 7 Verify access","Okta"
IT,Incident Root Cause Analyzer,7,"1 Pull ticket; 2 Analyze logs; 3 Identify cause; 4 Recommend fixes; 5 Notify team; 6 Validate; 7 Close","ServiceNow"
IT,Security Compliance Checker,7,"1 Scan logs; 2 Identify issues; 3 Compare policies; 4 Flag violations; 5 Notify security; 6 Recommend fix; 7 Track","CrowdStrike"
IT,Patch Management Agent,7,"1 Identify devices; 2 Check patch level; 3 Install updates; 4 Verify status; 5 Log; 6 Notify team; 7 Recheck","Jamf"
IT,Access Review Agent,7,"1 Pull user list; 2 Pull roles; 3 Identify mismatches; 4 Suggest removals; 5 Notify managers; 6 Apply updates; 7 Log","Okta"
IT,Network Monitoring Agent,7,"1 Scan network; 2 Identify outages; 3 Detect anomalies; 4 Notify IT; 5 Recommend fix; 6 Track; 7 Log","Datadog"
IT,Incident Escalation Assistant,7,"1 Pull incidents; 2 Score urgency; 3 Identify owner; 4 Escalate; 5 Notify; 6 Track; 7 Report","ServiceNow"
IT,Device Lifecycle Manager,7,"1 Track devices; 2 Identify aging; 3 Recommend replacements; 4 Build plan; 5 Notify IT; 6 Log; 7 Track","Jamf"
IT,Security Awareness Training Agent,7,"1 Identify overdue users; 2 Send reminders; 3 Track completion; 4 Notify managers; 5 Update system; 6 Build report; 7 Log","LMS"
IT,Access Request Approver,3,"1 Capture request; 2 Identify roles; 3 Approve","Okta"
IT,Password Reset Agent,3,"1 Capture request; 2 Reset password; 3 Notify user","ServiceNow"
IT,Change Management Tracker,4,"1 Track changes; 2 Identify risks; 3 Notify team; 4 Log","ServiceNow"
IT,System Health Checker,3,"1 Pull metrics; 2 Identify anomalies; 3 Report","Datadog"
IT,Network Traffic Analyzer,4,"1 Pull data; 2 Identify anomalies; 3 Suggest fixes; 4 Share","Datadog"
IT,Log File Summarizer,3,"1 Pull logs; 2 Identify issues; 3 Summarize","Splunk"
IT,Backup Verification Agent,3,"1 Identify backups; 2 Verify integrity; 3 Notify IT","Veeam"
IT,IT Asset Tracker,3,"1 Pull assets; 2 Identify gaps; 3 Export inventory","Jamf"
IT,Security Alert Consolidator,4,"1 Pull alerts; 2 Deduplicate; 3 Prioritize; 4 Notify team","CrowdStrike"
IT,VPN Access Monitor,3,"1 Track logins; 2 Identify anomalies; 3 Notify security","Okta"
IT,SSO Role Mapper,3,"1 Pull apps; 2 Map permissions; 3 Update roles","Okta"
IT,Firewall Change Checker,4,"1 Pull configs; 2 Compare to baseline; 3 Identify risks; 4 Share","Palo Alto"
IT,Cloud Cost Analyzer,4,"1 Pull cloud usage; 2 Identify spikes; 3 Recommend fixes; 4 Notify","AWS"
