Department,AI Role Name,Core Purpose,Key Responsibilities,Example Workflows Fit
Customer Success,AI Renewal & Expansion Strategist,"Support CSMs and AEs with renewal and upsell planning.","Identify upcoming renewals and expansion triggers; Build renewal and upsell narratives; Draft outreach for QBRs and renewal conversations; Suggest cross-sell/upsell opportunities by persona; Track progress against renewal plan.","Renewal Workflow Agent; Upsell Opportunity Finder; Quarterly Business Review Builder; Upsell Messaging Generator; License Utilization Checker"
Customer Success,AI Sentiment & Voice-of-Customer Listener,"Transform interactions into insight and proactive action.","Analyze emails, tickets, calls, and community messages for sentiment; Cluster feedback into themes and root causes; Highlight detractors and promoters; Recommend recovery or amplification actions; Feed insight into product and marketing.","Sentiment Tracker; CSAT Analyzer; NPS Analyzer; Slack Channel Analyzer; Feature Request Tracker"
Customer Success,AI Success Ops Coordinator,"Maintain CS operations, data quality and reporting.","Manage account segmentation and tiering rules; Standardize health score inputs and definitions; Maintain playbook and SOP library; Generate CS KPI dashboards; Identify process automation opportunities.","Account Segmentation; Health Score Digest; Lifecycle Alert Agent; Ticket Reduction Planner; Customer Story Generator"

Operations,AI Supply Chain & Inventory Planner,"Forecast and coordinate inventory and supply chain motions.","Analyze sales, inventory, and lead times; Forecast demand by product and location; Recommend reorder points and quantities; Identify at-risk items and stockouts; Build and update replenishment plans.","Inventory Reordering Agent; Inventory Forecast Agent; Supply Chain Delay Predictor; Inventory Turnover Analyzer; Order Fulfillment Tracker"
Operations,AI Workforce & Capacity Planner,"Align staffing and capacity with operational demand.","Forecast workload across teams or locations; Generate staffing plans and shift schedules; Identify bottlenecks and over/under-utilization; Propose cross-training or overtime solutions; Produce capacity and utilization reports.","Shift Scheduling Assistant; Capacity Forecast Agent; Shift Reminder Agent; Route Optimization Agent; Ops KPI Dashboard Builder"
Operations,AI Compliance & Audit Coordinator,"Monitor process adherence and prepare for audits.","Compare operational data against SOPs and policies; Detect process violations and exceptions; Generate audit prep checklists and document bundles; Track remediation actions; Keep an evidence trail for regulators or auditors.","Process Compliance Checker; Compliance Audit Prep Agent; Document Expiration Tracker; Warehouse Safety Checklist Agent; Incident Report Analyzer"
Operations,AI Vendor & Procurement Analyst,"Manage vendor performance, costs, and risks.","Analyze vendor performance and SLAs; Assess spend patterns and savings opportunities; Flag risky or underperforming vendors; Propose consolidation or negotiation tactics; Maintain vendor scorecards.","Vendor Risk Analyzer; Cost Reduction Analyzer; Vendor Communication Agent; New Vendor Onboarding Agent; Vendor Spend Digest"
Operations,AI Logistics & Facilities Assistant,"Coordinate physical operations and maintenance workflows.","Monitor orders, shipments, and routes; Identify delays or exceptions; Plan and track maintenance on assets and facilities; Generate operational digests for site leaders; Suggest layout or process improvements.","Warehouse Optimization Planner; Facility Maintenance Reminder; Fleet Maintenance Tracker; Route Optimization Agent; Order Accuracy Checker"

HR,AI Talent Sourcer & Screen Assistant,"Help recruiters source and pre-qualify candidates at scale.","Parse job requirements and ideal candidate profiles; Source candidates from multiple platforms; Score and shortlist based on skills and experience; Generate outreach messages; Maintain clean recruiting pipelines and notes.","Recruiting Pipeline Manager; Job Description Writer; Interview Question Generator; Interview Scorecard Summarizer; Recruiter Pipeline Digest"
HR,AI Onboarding & Employee Journey Coordinator,"Orchestrate employee lifecycle events from hire to exit.","Build role-specific onboarding plans; Trigger provisioning, training, and paperwork; Monitor progress through milestones; Coordinate offboarding checklists and deprovisioning; Summarize lifecycle events for HR and managers.","Employee Onboarding Workflow; Employee Milestone Tracker; Training Completion Tracker; SSO Offboarding Coordination (with IT); Exit Interview Analyzer"
HR,AI Performance & Development Partner,"Support managers with performance reviews and growth planning.","Aggregate goals, feedback, and achievements; Suggest draft performance reviews; Highlight strengths, gaps and development needs; Propose training and stretch assignments; Track completion of development plans.","Performance Review Assistant; Training Content Recommender; Workforce Planning Agent; Employee Engagement Analyzer; Employee Recognition Agent"
HR,AI People Analytics & Engagement Analyst,"Convert people data and signals into insight and initiatives.","Analyze survey, communication, and attrition data; Identify hotspots in engagement or culture; Segment findings by team or demographic; Recommend initiatives and experiments; Produce recurring executive-ready reports.","Employee Sentiment Monitor; Engagement Analyzer; Culture Analyzer; HR KPI Dashboard Agent; CFW Analyzer"
HR,AI Policy & Compliance Advisor,"Ensure adherence to HR, legal and policy requirements.","Map activities and workflows to HR policies; Detect potential policy violations or risks; Suggest corrective actions and messaging; Maintain up-to-date handbooks and policy docs; Support compliance reporting and audits.","Workplace Policy Compliance Checker; Employee Handbook Generator; Payroll Audit Checker; Benefits Enrollment Assistant; Workplace Culture Analyzer"

Finance,AI FP&A Copilot,"Support financial planning, budgeting and forecasting.","Aggregate financials, pipeline, and operational drivers; Build and maintain driver-based forecasts; Run scenarios and sensitivities; Highlight variances vs. plan; Deliver commentary and presentations for leadership.","Budget Forecasting Agent; Cash Flow Modeler; Forecast Accuracy Checker; Finance KPI Dashboard Agent; Cost Reduction Analyzer"
Finance,AI AP/AR Operations Assistant,"Run day-to-day invoicing, payments and collections workflows.","Capture and validate invoices and receipts; Match POs and flag mismatches; Prioritize and schedule vendor payments; Identify overdue receivables and draft collection outreach; Keep ledgers and subledgers in sync.","AP Automation Agent; Expense Audit Agent; AR Collections Workflow; Invoice Error Detector; Expense Receipt Validator"
Finance,AI Revenue & Margin Analyst,"Analyze revenue, profitability and pricing performance.","Break down revenue by product, segment, and channel; Analyze contract margins and deal economics; Detect low-margin or unprofitable customers; Suggest pricing and discounting changes; Build reports for GTM and leadership.","Contract Profitability Analyzer; Revenue Recognition Checker; Revenue Dashboard Builder; Vendor Spend Analyzer (for cost side); ROI Calculator"
Finance,AI Audit & Compliance Coordinator,"Prepare, support and streamline internal and external audits.","Assemble required documentation and evidence; Check for accounting or control inconsistencies; Track remediation of audit findings; Maintain audit trails and narratives; Coordinate responses to auditors and regulators.","Audit Readiness Agent; Tax Filing Prep Agent; Financial Close Assistant; Ledger Cleanup Agent; Finance Policy Compliance Checker"
Finance,AI Spend Governance & Policy Advisor,"Provide guardrails and governance for corporate spend.","Monitor expenses in real time against policies; Flag potential violations and edge cases; Suggest corrective actions and communication; Generate category-level savings insights; Recommend policy updates based on trends.","Expense Categorization Agent; Expense Audit Agent; Vendor Spend Digest; AP/AR Trend Analyzer; Approval Flow Builder"

IT,AI Service Desk Triage Bot,"Act as the first line triage and router for IT issues.","Ingest tickets and requests from multiple channels; Classify by category, priority, and impact; Suggest knowledge base articles and self-service fixes; Route to the right team or queue; Escalate high-risk or VIP cases.","IT Ticket Router; Incident Escalation Assistant; Password Reset Agent; Ticket Triage-like flows; Support Macro Optimizer (when paired with Support)"
IT,AI Identity & Access Manager,"Automate user lifecycle and access control.","Coordinate provisioning and deprovisioning based on HR and role changes; Manage SSO and group membership; Flag unusual access patterns; Propose cleanup of stale accounts and permissions; Generate periodic access review reports.","System Provisioning Agent; Access Review Agent; SSO Role Mapper; SSO Offboarding Agent; VPN Access Monitor"
IT,AI Observability & Incident Analyst,"Monitor systems and help resolve incidents quickly.","Aggregate logs, metrics, and traces; Detect anomalies and early warning signals; Correlate alerts into incidents; Suggest probable root causes and remediation steps; Generate post-incident summaries.","Network Monitoring Agent; System Health Checker; Log File Summarizer; Incident Root Cause Analyzer; Incident Trends Reporter"
IT,AI Security & Compliance Sentinel,"Continuously watch for security and compliance risks.","Consolidate security alerts across tools; Identify true positives vs. noise; Map issues to policies and frameworks; Recommend remediation priorities; Maintain security posture and compliance dashboards.","Security Compliance Checker; Security Alert Consolidator; Vulnerability Scan Analyzer; Firewall Change Checker; Security Dashboard Generator"
IT,AI Infrastructure & Cost Optimizer,"Keep infrastructure efficient, resilient, and cost-effective.","Analyze infra utilization and performance; Identify over/under-provisioned resources; Recommend scaling or rightsizing actions; Track cloud spend trends and anomalies; Produce optimization recommendations for engineering and finance.","Cloud Cost Analyzer; Infrastructure Health Checker; Backup Verification Agent; Server Patch Status Checker; API Health Monitor"

Support,AI Omni-Channel Support Triage Agent,"Triage and route support requests from all channels.","Ingest tickets from email, chat, phone, and in-app; Classify by issue type, product area, and urgency; Suggest initial responses or KB articles; Assign to the right agent or squad; Reprioritize queues dynamically.","Ticket Triage Agent; Ticket Prioritization Agent; Ticket Categorizer; Support Queue Balancer; Ticket Auto-Updater"
Support,AI Knowledge Base Curator,"Build and maintain a high-quality, up-to-date KB.","Identify recurring and high-impact issues; Generate and update knowledge articles; Ensure articles follow style and structure guidelines; Coordinate internal reviews and publishing; Monitor deflection and usage metrics.","Knowledge Article Generator; Knowledge Gap Analyzer; Support Article Refresher; Product FAQ Generator; Troubleshooting Step Generator"
Support,AI Quality & Coaching Analyst,"Evaluate support interactions and enable coaching.","Analyze call recordings, chats, and tickets for quality; Score interactions against QA rubrics; Identify coaching opportunities and best practices; Generate agent-level performance summaries; Suggest training content.","Call Center QA Agent; Agent Performance Analyzer; CSAT Improvement Planner; Response Time Analyzer; On-Call Summary Agent"
Support,AI Customer Sentiment & Risk Monitor,"Detect at-risk customers and proactively intervene.","Measure sentiment and frustration across tickets; Flag VIP customers or high-value accounts; Recommend proactive outreach and escalation; Track recovery efforts and outcomes; Feed insights back to CS and Product.","Sentiment Analysis for Tickets; Customer Temperature Check; VIP Customer Monitor; Customer Follow-Up Agent; Outage Notification Writer"
Support,AI Support Insights & Planning Analyst,"Turn support data into planning signals.","Aggregate ticket volume and topic trends; Forecast future demand by channel and skill; Recommend staffing and training plans; Identify automation and product-improvement opportunities; Produce dashboards and executive reports.","Support Forecast Agent; Ticket Volume Dashboard Builder; Support Digest Agent; Ticket Deflection Assistant; Troubleshooting Step Generator"

Product,AI Product Insights Analyst,"Convert user behavior and feedback into product insight.","Aggregate analytics, NPS/CSAT, and feedback sources; Identify behavioral patterns and key drop-offs; Correlate issues with support and churn; Propose hypotheses and experiments; Build recurring insights reports.","Adoption Funnel Analyzer; User Feedback Analyzer; Churn Reason Analyzer; Product Metrics Reporter; Experiment Results Analyzer"
Product,AI Roadmap & Prioritization Copilot,"Support PMs in prioritizing features and investments.","Consolidate requests, feedback, and strategy inputs; Score features on impact, effort, risk and alignment; Suggest roadmap scenarios; Highlight tradeoffs by quarter; Produce roadmap artifacts for stakeholders.","Feature Prioritization Agent; Roadmap Planner; Feature Deprecation Agent; User Demand Forecaster; Feature Success Analyzer"
Product,AI Spec & Documentation Writer,"Help author and maintain high-quality product docs.","Transform ideas and requirements into structured specs; Generate user stories and acceptance criteria; Maintain up-to-date specs as designs evolve; Produce internal and external documentation; Ensure consistency of language and structure.","Feature Spec Drafting Agent; Product FAQ Generator; Runbook Generator (with Eng); Product Vision Draft Agent; Product Launch Checklist Agent"
Product,AI Experimentation & Growth Partner,"Design and interpret product experiments.","Design tests with clear hypotheses and metrics; Define cohorts, sampling, and experiment design; Monitor experiments while running; Analyze results and recommend decisions; Share learnings across teams.","Experiment Planner; Experiment Results Analyzer; Adoption Funnel Analyzer; Product Metrics Reporter; Growth KPI Dashboard Builder (via Product KPI Dashboard Builder)"
Product,AI UX & Journey Analyst,"Spot UX issues and opportunities across journeys.","Analyze heatmaps, recordings, and funnels; Identify friction points and confusing flows; Suggest UX improvements and possible tests; Build user journey maps; Package findings for design and engineering.","UX Issue Detector; User Session Analyzer; User Journey Map Builder; Usability Study Coordinator; Release Health Monitor"

Engineering,AI Issue & Incident Triage Engineer,"Help engineering teams manage bugs and incidents.","Ingest issues from monitoring, support, and QA; Classify and prioritize bugs and incidents; Suggest likely owners based on code ownership; Propose initial triage steps and context; Track resolution progress and SLA adherence.","Bug Triage Agent; Build Failure Analyzer; Incident Postmortem Builder; Error Rate Reporter; Incident Trends Reporter"
Engineering,AI Code Review & Quality Copilot,"Support engineers in reviewing and improving code.","Summarize pull requests and changes; Highlight risky patterns and smells; Suggest refactorings and tests; Check adherence to style and security guidelines; Generate review summaries for approvers.","Code Review Summarizer; Pull Request Reviewer; Code Smell Detector; Refactor Candidate Finder; API Contract Checker"
Engineering,AI DevOps & Pipeline Optimizer,"Monitor and optimize CI/CD pipelines and deployments.","Analyze pipeline runs for failure patterns and slowness; Recommend caching, parallelization, and configuration changes; Assess deployment risk from change sets; Propose rollout strategies and feature flag usage; Generate DevOps health reports.","Release Pipeline Validator; CI/CD Stats Reporter; Deployment Risk Analyzer; Test Flakiness Detector; Repository Cleanup Agent"
Engineering,AI Performance & Reliability Analyst,"Improve system performance and reliability.","Monitor API and system performance metrics; Identify latency, error and saturation hotspots; Correlate issues with code changes or infra events; Recommend fixes and capacity adjustments; Track SLO/SLA attainment.","API Performance Monitor; Log Analyzer; API Latency Predictor; Infrastructure Health Checker; Database Query Optimizer"
Engineering,AI Engineering Ops & Insights Partner,"Provide operational visibility and planning support to eng leaders.","Track cycle time, throughput, and WIP; Analyze sprint performance and delivery predictability; Highlight bottlenecks across teams; Recommend process improvements; Build dashboards and narratives for leadership.","Sprint Planning Agent; Cycle Time Analyzer; CI/CD Stats Reporter; Engineering KPI Dashboard (via API Usage Dashboard Builder and others); Runbook Generator"
